catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
spinner,spinner,Spinner,spinner.com,NA,AOL,media player software,
spinnstoffwerk glauchau,spinnstoffwerk glauchau,Spinnstoffwerk Glauchau,NA,Germany,NA,Manufacture of other technical and industrial textiles|textile and clothing industry,
spiral universe,spiral universe,Spiral Universe,spiraluniverse.com,United States of America,NA,educational software,
splashlink,splashlink,SplashLink,splashlink.com,United States of America,NA,water industry|software industry,
sports mogul,sports mogul,Sports Mogul,NA,United States of America,NA,video game industry,
spotcap,spotcap,Spotcap,spotcap.com,Netherlands|United Kingdom|Germany|Australia|New Zealand,NA,financial technology,
spotfire,spotfire,Spotfire,spotfire.tibco.com,NA,NA,software,
spotify,spotify,Spotify,spotify.com,Sweden,Spotify Technology,streaming media|software development,
spotify technology,spotify technology,Spotify Technology,spotify.com|investors.spotify.com,Luxembourg,NA,streaming media|software development,
spring,spring,Spring,NA,NA,NA,software,
sprinklr,sprinklr,Sprinklr,sprinklr.com,NA,NA,marketing software industry,
sprofile,sprofile,Sprofile,NA,Brazil,NA,video game industry,
sproing interactive media,sproing interactive media,Sproing Interactive Media,sproing.com,Austria,NA,video game industry,
spry fox,spry fox,Spry Fox,spryfox.com,United States of America,NA,video game industry,
spss,spss,SPSS Inc.,NA,NA,NA,software,
spyglass,spyglass,Spyglass,NA,NA,NA,software,
squad,squad,Squad,squad.com.mx,Mexico,NA,video game industry,
squad capitals,squad capitals,Squad Capitals,squadcapitals.business.site,NA,NA,information technology,
square enix,square enix,Square Enix,square-enix.com,Japan,Square Enix Holdings,video game industry,
square enix business division 6,square enix business division 6,Square Enix Business Division 6,NA,Japan,NA,video game industry,
squirrel,squirrel,Squirrel,NA,NA,NA,software,
squiz,squiz,Squiz,squiz.net,NA,NA,software,
srd,srd,SRD,srd.co.jp,Japan,NA,video game industry,
ssa global technologies,ssa global technologies,SSA Global Technologies,ssaglobal.com,NA,NA,software,
stac electronics,stac electronics,Stac Electronics,NA,United States of America,NA,software,
stackify,stackify,Stackify,NA,NA,NA,software,
stahlunion ingenieurbau gesellschaft mbh der vereinigten stahlwerke,stahlunion ingenieurbau gesellschaft mbh der vereinigten stahlwerke,Stahlunion Ingenieurbau Gesellschaft mbH der Vereinigten Stahlwerke,NA,Germany,Vereinigte Stahlwerke,business service|Architectural and engineering activities; technical testing and analysis,
star division,star division,Star Division,NA,Germany,NA,software industry,
star factory,star factory,Star Factory,NA,NA,NA,video game industry,
star stable entertainment,star stable entertainment,Star Stable Entertainment,starstableentertainment.com,Sweden,NA,video game,
starbreeze studios,starbreeze studios,Starbreeze Studios,starbreeze.com,Sweden,NA,video game industry,
starfish sd,starfish sd,STARFISH-SD,s-f.co.jp,Japan,NA,video game industry,
starlims,starlims,STARLIMS,abbottinformatics.com,NA,NA,software industry,
starling,starling,"Starling, Inc.",starlingrecords.com,United States of America,NA,music|information technology|digital distribution,
starmind international,starmind international,Starmind International,starmind.ai,NA,NA,technology company,
starpath,starpath,Starpath,NA,United States of America,NA,video game industry,
starwave,starwave,Starwave,NA,United States of America,The Walt Disney Company,video game industry,
stasworx technologies,stasworx technologies,Stasworx Technologies,stasworx.com,India,NA,information technology|software development,
statsoft,statsoft,StatSoft,NA,NA,Dell Inc.,software,
steepler,steepler,Steepler,NA,Russia,NA,video game industry,
steinberg,steinberg,Steinberg,steinberg.net,Germany,Yamaha Corporation,software,
stem cell theranostics,stem cell theranostics,Stem Cell Theranostics,sctheranostics.com,United States of America,NA,biotechnology,
stemcells,stemcells,"StemCells, Inc.",NA,United States of America,NA,biotechnology,
steorn,steorn,Steorn,steorn.com,NA,NA,energy technology,
sterling ledet & associates,sterling ledet & associates,Sterling Ledet & Associates,ledet.com,NA,NA,software industry,
sterling software,sterling software,Sterling Software,NA,NA,NA,software development,
stern electronics,stern electronics,"Stern Electronics, Inc.",NA,United States of America,NA,video game industry,
stolt:it,stolt:it,Stolt:IT,stoltit.no,Norway,Stolt AS,information technology,
storm8,storm8,Storm8,storm8.com,United States of America,NA,video game industry,
strand life sciences,strand life sciences,Strand Life Sciences,strandls.com,India,NA,software,
strands recommender,strands recommender,Strands Recommender,recommender.strands.com,NA,NA,software industry,
stratavia,stratavia,Stratavia,hp.com,United States of America,NA,software,
strategic simulations,strategic simulations,Strategic Simulations,NA,United States of America,NA,video game industry,
stratus technologies,stratus technologies,Stratus Technologies,NA,NA,NA,information technology,
straylight productions,straylight productions,Straylight Productions,NA,United States of America,NA,video game industry,
streamyard,streamyard,"StreamYard, Inc.",streamyard.com,Canada,NA,software|video software|video streaming service|video production,
strise,strise,Strise,strise.ai,Norway,NA,technology industry,
stryker corporation,stryker corporation,Stryker Corporation,stryker.com,United States of America,NA,health technology,
stuck in attic,stuck in attic,Stuck In Attic,NA,Romania,NA,video game industry,
studio ego!,studio ego!,Studio e.go!,studio-ego.jp,Japan,NA,video game industry,
studio elle,studio elle,Studio elle,studioelle.jp,Japan,NA,video game industry,
studio fake,studio fake,Studio Fake,studiofake.co.jp,Japan,NA,video game industry,
studio junio,studio junio,Studio Junio,NA,Japan,NA,video game industry,
studio mausu,studio mausu,Studio Mausu,mausu.net,Japan,NA,video game industry,
studio peacock corporation,studio peacock corporation,Studio Peacock Corporation,NA,Japan,NA,video game industry,
studio sign,studio sign,Studio Sign,st-sign.com,Japan,NA,video game industry,
studio takuranke,studio takuranke,Studio Takuranke,NA,Japan,NA,video game industry,
studio zan,studio zan,Studio Zan,studio-zan.com,Japan,NA,video game industry,
style cube,style cube,STYLE CUBE,stylecube.jp,Japan,NA,video game industry,
subelectro ltd,subelectro ltd,Subelectro Ltd,NA,United Kingdom,NA,video game industry,
suku technologies,suku technologies,Suku Technologies,sukutechnologies.com,Ghana,NA,technology industry,
sumitomo dainippon pharma,sumitomo dainippon pharma,Sumitomo Dainippon Pharma,ds-pharma.co.jp,Japan,Sumitomo Chemical,biotechnology,
sumo logic,sumo logic,Sumo Logic,sumologic.com,United States of America,NA,software,
sumtotal systems,sumtotal systems,Sumtotal Systems,sumtotalsystems.com,NA,NA,software industry,
sun microsystems,sun microsystems,Sun Microsystems,sun.com,United States of America,Oracle,computing|software development,
sungard,sungard,SunGard,sungard.com,NA,NA,information technology,
sunnygapen co ltd,sunnygapen co ltd,"sunnygapen Co., Ltd.",NA,Japan,NA,video game industry,
sunquest information systems,sunquest information systems,Sunquest Information Systems,sunquestinfo.com,NA,Roper Technologies,information technology,
super decisions,super decisions,Super Decisions,NA,NA,NA,software,
super fighter team,super fighter team,Super Fighter Team,superfighter.com,United States of America,NA,video game industry,
supercell,supercell,Supercell,supercell.com,Finland,Tencent,software development|video game industry,
supermicro,supermicro,Supermicro,supermicro.com,United States of America,NA,information technology,
superoffice,superoffice,SuperOffice,superoffice.com,Norway,NA,software,
superscape,superscape,Superscape,superscape.com,United Kingdom,NA,video game industry,
supersweep coltd,supersweep coltd,"SuperSweep co.,ltd.",NA,Japan,NA,video game industry,
surchx,surchx,SurchX,surchx.com,United States of America,NA,financial technology,
surveymonkey,surveymonkey,SurveyMonkey,surveymonkey.com,United States of America,Momentive,software as a service|Online survey service,
survios,survios,Survios,survios.com,United States of America,NA,video game industry,
suse,suse,SUSE,suse.com,Germany,EQT Partners,software development,
swedish game awards,swedish game awards,Swedish Game Awards,gameawards.se,Sweden,NA,video game,
swift xi,swift xi,Swift Xi,swift-xi.com,Japan,Swift Engineering,information technology|aerospace industry,
swipely,swipely,Swipely,upserve.com,NA,NA,business software industry,
swiss aviationsoftware,swiss aviationsoftware,Swiss AviationSoftware,swiss-as.com,Switzerland,Swiss International Air Lines,software industry|aviation industry,
sws,sws,SWS,sws.cz,Czech Republic,NA,software industry,
sybase,sybase,Sybase,sybase.com|sybase.de,United States of America,NA,software industry,
sybase ianywhere,sybase ianywhere,Sybase iAnywhere,ianywhere.com,United States of America,Sybase,software,
sybo games,sybo games,SYBO Games,sybogames.com,NA,NA,video game industry,
syclo,syclo,Syclo,syclo.com,NA,NA,software,
syhunt,syhunt,Syhunt,syhunt.com,Brazil,NA,software,
symbolics,symbolics,Symbolics,symbolics.com,United States of America,NA,information technology,
symphonic source,symphonic source,"Symphonic Source, Inc.",NA,United States of America,NA,software,
symphony,symphony,Symphony,NA,United States of America,NA,financial technology,
synapse gaming,synapse gaming,Synapse Gaming,synapsegaming.com,United States of America,NA,video game industry,
synapse software,synapse software,Synapse Software,NA,United States of America,NA,video game industry,
synbio,synbio,SynBio,NA,NA,NA,biotechnology,
syncron international ab,syncron international ab,Syncron International AB,NA,NA,NA,software,
synesis group,synesis group,Synesis Group,synesis.by,Belarus,NA,software development|Information technology outsourcing,
synetic gmbh,synetic gmbh,Synetic GmbH,synetic.de,Germany,NA,video game industry,
synnex,synnex,Synnex,synnexcorp.com,NA,NA,information technology,
synopsys,synopsys,Synopsys,synopsys.com,United States of America,NA,software industry,
syntel,syntel,Syntel,atos-syntel.net,NA,NA,IT service management|information technology consulting,
synthetic genomics,synthetic genomics,Synthetic Genomics,syntheticgenomics.com,United States of America,NA,biotechnology,
sys technologies,sys technologies,SYS Technologies,systechnologies.com:80,NA,NA,information technology,
syscom,syscom,Syscom,syscom.co.jp,Japan,NA,video game industry,
systancia,systancia,Systancia,systancia.com,NA,NA,software,
system group,system group,System Group,systemgroup.net,Iran,NA,software development,
system prisma,system prisma,System Prisma,prisma.jp,Japan,NA,video game industry,
system sacom,system sacom,System Sacom,sacom.co.jp,Japan,NA,video game industry,
system simulation,system simulation,System Simulation,ssl.co.uk,United Kingdom,NA,software engineering,
t systems cis,t systems cis,T-Systems CIS,t-systems.ru,NA,Deutsche Telekom,software development|telecommunications industry,
t systems iberia,t systems iberia,T-Systems Iberia,t-systems.es,Spain,NA,information and communications technology,
t systems international gmbh,t systems international gmbh,T-Systems International GmbH,t-systems.de,Germany,Deutsche Telekom,information and communications technology,
tableau software,tableau software,Tableau Software,tableau.com|tableausoftware.com,United States of America,Salesforce.com,software industry|data visualization|report generator,
tably,tably,Tably,tably.com,United Kingdom,NA,software industry|technology industry,
tacit software,tacit software,Tacit Software,oracle.com,United States of America,NA,software,
taito corporation,taito corporation,Taito Corporation,taito.co.jp,Japan,Square Enix Holdings,video game industry,
taito gm r&d sect #2,taito gm r&d sect #2,Taito GM R&D Sect. #2,NA,Japan,NA,video game industry,
takara,takara,Takara,takaratoys.co.jp,Japan,NA,video game industry,
take two interactive,take two interactive,Take-Two Interactive,take2games.com,United States of America,NA,video game industry,
takeda oncology,takeda oncology,Takeda Oncology,NA,United States of America,NA,biotechnology,
takii & co,takii & co,Takii & Co.,takii.co.jp|takiiseed.com,Japan,NA,biotechnology|agriculture,
takwene,takwene,Takwene,takwene.com,NA,NA,software development|music industry,
tal technologies,tal technologies,TAL Technologies Inc.,taltech.com,NA,NA,software,
tala,tala,Tala,tala.co,United States of America,NA,financial technology,
talarian,talarian,Talarian,NA,United States of America,NA,software,
taligent,taligent,Taligent,NA,NA,NA,software development,
tamtex,tamtex,Tamtex,NA,Japan,NA,video game industry,
tanium,tanium,Tanium,tanium.com,United States of America,NA,business software industry,
targanta therapeutics corporation,targanta therapeutics corporation,Targanta Therapeutics Corporation,themedicinescompany.com,NA,NA,biotechnology,
target laboratory,target laboratory,Target Laboratory,NA,Japan,NA,video game industry,
targit business intelligence,targit business intelligence,TARGIT Business Intelligence,targit.com,NA,NA,software,
taskon,taskon,Taskon,NA,Norway,NA,information technology,
tata consultancy services,tata consultancy services,Tata Consultancy Services,tcs.com,India,Tata Group,IT service management|information technology consulting,
tate multimedia,tate multimedia,Tate Multimedia,tatemultimedia.com,Poland,NA,video game industry,
tatsumi,tatsumi,Tatsumi,tatsu-mi.co.jp,NA,NA,video game industry,
taulia,taulia,Taulia,taulia.com,NA,NA,financial technology,
tavant technologies,tavant technologies,Tavant Technologies,tavant.com,United States of America,NA,software,
taxan,taxan,Taxan,NA,United Kingdom,NA,video game industry,
taxslayercom,taxslayercom,TaxSlayer.com,taxslayer.com,NA,NA,software industry,
tcl technology,tcl technology,TCL Technology,tcl.com,People's Republic of China,NA,technology|semiconductor|electronics,
tcs china,tcs china,TCS China,NA,People's Republic of China,NA,information technology,
tdc software engineering,tdc software engineering,TDC Software Engineering,tdc.co.jp,NA,NA,information technology,
tdk mediactive,tdk mediactive,TDK Mediactive,NA,United States of America,Take-Two Interactive,video game industry,
team grisgris,team grisgris,Team GrisGris,gris2.com,Japan,NA,video game industry,
team neusta,team neusta,Team neusta,team-neusta.de,Germany,NA,information technology,
team17,team17,Team17,team17.com,United Kingdom,NA,video game industry,
teamnote,teamnote,TeamNote,teamnoteapp.com,NA,NA,information technology,
teamquest corporation,teamquest corporation,TeamQuest Corporation,teamquest.com,NA,NA,information technology management,
tech arts,tech arts,Tech Arts,teck.co.jp,Japan,NA,software industry,
tech mahindra india,tech mahindra india,Tech Mahindra India,techmahindra.com,India,Mahindra Group,IT service management|information technology consulting,
techaffinity,techaffinity,Techaffinity,techaffinity.com,NA,NA,Information technology services agency,
technical group laboratory,technical group laboratory,Technical Group Laboratory,tgl.co.jp,Japan,NA,video game industry,
technical systems consultants,technical systems consultants,Technical Systems Consultants,NA,NA,NA,software,
techno sound,techno sound,Techno Sound,NA,Japan,NA,video game industry,
technocity thiruvananthapuram,technocity thiruvananthapuram,"Technocity, Thiruvananthapuram",NA,India,NA,information technology,
technologyone,technologyone,TechnologyOne,technologyonecorp.com,NA,NA,software development,
techsmith,techsmith,TechSmith,techsmith.com,United States of America,NA,software industry,
tecmagik,tecmagik,TecMagik,NA,United Kingdom,NA,video game industry,
tecmo,tecmo,Tecmo,tecmo.co.jp,Japan,Koei Tecmo Holdings,video game industry,
tecnomatix,tecnomatix,Tecnomatix,plm.automation.siemens.com,Germany,Siemens,software,
tecrea,tecrea,Tecrea,tecrea.co.uk,United Kingdom,NA,biotechnology,
tectoy,tectoy,Tectoy,tectoy.com.br,Brazil,NA,video game industry,
teichiku entertainment,teichiku entertainment,Teichiku Entertainment,teichiku.co.jp,Japan,Xing,video game industry,
tekever,tekever,Tekever,tekever.com,Portugal,NA,information technology,
teknopiste,teknopiste,Teknopiste,NA,Finland,NA,import|video game industry,
telarium,telarium,Telarium,NA,United States of America,Spinnaker Software,video game industry,
tele match,tele match,Tele-Match inc.,NA,United States of America,NA,video game industry,
telecomputing,telecomputing,TeleComputing,telecomputing.no,Norway,NA,information technology,
teledata networks,teledata networks,Teledata Networks,teledata-networks.com,NA,NA,software,
telegames,telegames,Telegames,telegames.com,United States of America,NA,video game industry,
telelogic,telelogic,Telelogic,ibm.com,NA,IBM,information technology,
télémécanique,télémécanique,Télémécanique,schneider-electric.de,NA,NA,information technology,
teleport,teleport,Teleport,NA,Austria,NA,information and communications technology,
telepost communications,telepost communications,Telepost Communications,NA,Norway,NA,information technology|communication technology,
telerik,telerik,Telerik,telerik.com,United States of America,NA,software development,
teles,teles,TELES,teles.com,Germany,NA,information technology,
telestream,telestream,Telestream,telestream.net,NA,NA,software,
telindus,telindus,Telindus,telindus.be,NA,Proximus,information and communications technology,
telligent systems,telligent systems,Telligent Systems,telligent.com,United States of America,NA,social software,
telltale games,telltale games,Telltale Games,telltale.com|warnerchappell.fandom.com,United States of America,NA,video game industry,
telogis,telogis,Telogis,telogis.com,United States of America,NA,telematics|software industry|Fleet management|Field force automation|Field service management|Mobile asset management,
telos,telos,Telos,telos.com,NA,NA,information technology,
telvent,telvent,Telvent,telvent.com,Spain,NA,information technology,
temenos group,temenos group,Temenos Group,temenos.com,Switzerland,NA,financial technology,
ten square games,ten square games,Ten Square Games,tensquaregames.com,Poland,NA,video game industry,
tencent,tencent,Tencent,tencent.com,People's Republic of China,NA,information technology|video game industry,
tencent games,tencent games,Tencent Games,game.qq.com,NA,Tencent,video game industry,
tengen ltd,tengen ltd,Tengen Ltd.,NA,Japan,NA,video game industry,
tenmarks education,tenmarks education,"TenMarks Education, Inc.",tenmarks.com,NA,NA,educational software,
tentamus group,tentamus group,Tentamus Group,tentamus.com|tentamus.de,NA,NA,biotechnology,
terravia,terravia,TerraVia,terravia.com,United States of America,NA,biotechnology industry,
tessella,tessella,Tessella,tessella.com,United Kingdom,NA,software,
tetris online,tetris online,"Tetris Online, Inc.",tetrisonline.com,United States of America,NA,video game industry,
tevalu,tevalu,Tevalu,tevalu.com,Kenya,NA,Internet|information technology|marketing|software industry,
text control,text control,Text Control,textcontrol.com,Germany,NA,software development,
textio,textio,Textio,NA,NA,NA,software industry,
teyon,teyon,Teyon,teyon.com,Poland,NA,video game industry,
thalamus ltd,thalamus ltd,Thalamus Ltd,NA,United Kingdom,NA,video game industry,
thalion software,thalion software,Thalion Software,NA,Germany,NA,video game industry,
the ant commandos,the ant commandos,The Ant Commandos,theantcommandos.com,United States of America,NA,video game industry,
the attachmate group,the attachmate group,The Attachmate Group,attachmategroup.com,United States of America,NA,software,
the boardr,the boardr,The Boardr,theboardr.com,United States of America,NA,software industry|event management,
the byte works,the byte works,The Byte Works,byteworks.us,NA,NA,software,
the digital village,the digital village,The Digital Village,NA,United Kingdom,NA,web development|video game industry,
the farm 51,the farm 51,The Farm 51,thefarm51.com,Poland,NA,video game industry,
the fullbridge program,the fullbridge program,The Fullbridge Program,fullbridge.com,United States of America,NA,educational technology,
the game bakers,the game bakers,The Game Bakers,thegamebakers.com,NA,NA,video game industry,
the game designers studio,the game designers studio,The Game Designers Studio,NA,Japan,NA,video game industry,
the game factory,the game factory,The Game Factory,NA,Denmark,NA,video game industry,
the hive group,the hive group,The Hive Group,NA,United States of America,NA,software,
the library corporation,the library corporation,The Library Corporation,tlcdelivers.com,NA,NA,software,
the qt company,the qt company,The Qt Company,qt.io,Finland,Nokia|Digia,free software|software industry,
the sales curve,the sales curve,The Sales Curve,NA,United Kingdom,NA,video game industry,
the software link,the software link,The Software Link,NA,NA,NA,software,
the software toolworks,the software toolworks,The Software Toolworks,NA,United States of America,NA,video game industry,
the switch,the switch,The Switch,NA,Finland,NA,energy technology,
the tetris company,the tetris company,The Tetris Company,tetris.com,United States of America,NA,video game industry,
the vision factory,the vision factory,The Vision Factory,NA,NA,NA,video game industry,
the weather company,the weather company,The Weather Company,weather.com,NA,IBM,information technology,
the world biographic encyclopedia,the world biographic encyclopedia,"The World Biographic Encyclopedia, Inc.",NA,NA,NA,information technology,
the9,the9,The9,the9.com,NA,NA,video game industry,
theatre echo,theatre echo,Theatre Echo,t-echo.co.jp,Japan,NA,video game industry,
thebrain technologies,thebrain technologies,TheBrain Technologies,thebrain.com,United States of America,NA,software industry,
theranos,theranos,Theranos,NA,United States of America,NA,health care|health technology,
thermo fisher scientific,thermo fisher scientific,Thermo Fisher Scientific,thermofisher.com,United States of America,NA,biotechnology industry,
thermo fisher scientific (lithuania),thermo fisher scientific (lithuania),Thermo Fisher Scientific (Lithuania),NA,Lithuania,Thermo Fisher Scientific,biotechnology,
thesuitest,thesuitest,TheSuitest,thesuitest.com,NA,NA,software,
thinglink,thinglink,Thinglink,thinglink.com,Finland,NA,Internet|technology,
think & feel,think & feel,Think & Feel,thinkandfeel.co.jp,Japan,NA,video game industry,
thinking pictures,thinking pictures,Thinking Pictures,thinkingpictures.com,NA,NA,software industry,
thinking rabbit,thinking rabbit,Thinking Rabbit,NA,Japan,NA,video game industry,
thomsons online benefits,thomsons online benefits,Thomsons Online Benefits,thomsons.com,NA,NA,software,
thoughtworks,thoughtworks,ThoughtWorks,thoughtworks.com,NA,NA,software industry,
thq,thq,THQ,NA,United States of America,NA,video game industry,
thq studio australia,thq studio australia,THQ Studio Australia,thqstudioaustralia.com,NA,THQ,video game industry,
threewave software,threewave software,Threewave Software,threewavesoftware.com,Canada,NA,video game industry,
thrombolytic science international,thrombolytic science international,Thrombolytic Science International,tsillc.net,NA,NA,biotechnology,
throwback entertainment,throwback entertainment,Throwback Entertainment,throwbackentertainment.com,NA,NA,video game industry,
thüringische glasinstrumentenfabrik alt eberhard & jäger ilmenau,thüringische glasinstrumentenfabrik alt eberhard & jäger ilmenau,"Thüringische Glasinstrumentenfabrik Alt, Eberhard & Jäger Ilmenau",NA,Germany,NA,"Other mining and quarrying|Manufacture and processing of other glass, including technical glassware",
tibco software,tibco software,Tibco Software,tibco.com,United States of America,Vista Equity Partners,software industry,
tibush gmbh,tibush gmbh,Tibush GmbH,tibush.com,Germany,NA,information technology|retail,
ticnob,ticnob,Ticnob,ticnob.com,India,NA,information technology,
tiertex design studios,tiertex design studios,Tiertex Design Studios,tiertex.com,United Kingdom,NA,video game industry,
tietoevry,tietoevry,TietoEVRY,tietoevry.com,Finland,NA,information and communications technology,
tigenix,tigenix,TiGenix,tigenix.com,NA,NA,biotechnology,
tiger electronics,tiger electronics,Tiger Electronics,NA,United States of America,Hasbro,video game industry,
tiger telematics,tiger telematics,Tiger Telematics,tigertelematics.com,NA,NA,video game industry,
tigerlogic,tigerlogic,TigerLogic,tigerlogic.com,NA,NA,software,
tigervision,tigervision,Tigervision,NA,United States of America,NA,video game industry,
time sharing limited,time sharing limited,Time Sharing Limited,NA,NA,Automatic Data Processing,technology industry,
tinami coltd,tinami coltd,"TINAMI Co.,Ltd.",corp.tinami.com,Japan,NA,information technology,
tko software,tko software,TKO Software,NA,United States of America,NA,video game industry,
tlk games,tlk games,TLK Games,NA,NA,NA,video game industry,
tmaxoffice,tmaxoffice,TmaxOffice,tmax.co.kr,NA,NA,software,
tmaxsoft,tmaxsoft,TmaxSoft,kr.tmaxsoft.com,NA,NA,software,
tml studios,tml studios,TML Studios,tml-studios.de,Germany,NA,video game industry,
tmw systems,tmw systems,TMW Systems,tmwsystems.com,NA,NA,software,
tnx,tnx,TNX,tnx.cc,Japan,NA,video game industry,
toa technologies,toa technologies,TOA Technologies,NA,NA,NA,software,
tobii ab,tobii ab,Tobii AB,tobii.com,Sweden,NA,computer hardware|peripheral|software industry,
toei animation,toei animation,Toei Animation,toei-anim.co.jp,Japan,Toei Company,video game industry|film industry|anime industry,
toho,toho,Toho,toho.co.jp|toho.website,Japan,NA,video game industry,
tokai communications,tokai communications,Tokai Communications,tokai-com.co.jp,Japan,NA,video game industry,
token transit,token transit,Token Transit,tokentransit.com,NA,NA,software as a service|mobile payment industry,
tokyo shoseki,tokyo shoseki,Tokyo Shoseki,tokyo-shoseki.co.jp,Japan,NA,video game industry|schoolbook publisher|publishing,
tokyo television center,tokyo television center,Tokyo Television Center,telecen.ne.jp,Japan,NA,video game industry,
tolerx,tolerx,Tolerx,tolerx.com,NA,NA,biotechnology,
tom create,tom create,Tom Create,tomcreate.co.jp,Japan,NA,video game industry,
tomcat system,tomcat system,Tomcat System,tomcatsystem.co.jp,Japan,NA,video game industry,
tommo,tommo,Tommo Inc.,tommo.com,United States of America,NA,video game industry,
tomy,tomy,Tomy,takaratomy.co.jp|tomy-group.com|tomy.com,Japan,NA,toy|video game industry,
tonara,tonara,Tonara,tonara.com,NA,NA,software,
tonkin house,tonkin house,Tonkin House,NA,NA,NA,video game industry,
toon boom animation,toon boom animation,Toon Boom Animation,toonboom.com,Canada,NA,software,
top rated local,top rated local,Top Rated Local,topratedlocal.com,United States of America,NA,software industry,
topcoder,topcoder,TopCoder,topcoder.com,NA,NA,software industry,
toplitz productions,toplitz productions,Toplitz Productions,toplitz-productions.com,Austria,NA,video game industry,
topotarget,topotarget,TopoTarget,topotarget.com,Denmark,NA,biotechnology,
topowvr,topowvr,ToPowVR,topowvr.net,People's Republic of China,NA,video game industry,
toppr,toppr,Toppr,toppr.com,India,NA,educational technology,
topware interactive,topware interactive,TopWare Interactive,topware.com,Germany,NA,video game industry,
tornado studios,tornado studios,Tornado Studios,NA,United States of America,NA,video game industry,
torpex games,torpex games,Torpex Games,torpexgames.com,United States of America,NA,video game industry,
tose co,tose co,Tose Co.,tose.co.jp,Japan,NA,video game industry,
toshiba,toshiba,Toshiba,toshiba.com|toshiba.co.jp|global.toshiba,Japan,NA,software industry|electrical industry|electronics industry,
toshiba emi ltd,toshiba emi ltd,Toshiba EMI Ltd.,toshiba-emi.co.jp,Japan,Toshiba|EMI,video game industry|phonographic industry,
totvs,totvs,TOTVS,totvs.com,Brazil,NA,software,
touchdown entertainment,touchdown entertainment,Touchdown Entertainment,NA,United States of America,NA,video game industry,
tower software,tower software,TOWER Software,hp.com,United States of America,Hewlett-Packard,software,
traction software,traction software,Traction Software,tractionsoftware.com,NA,NA,software,
tracto technik (germany),tracto technik (germany),Tracto-Technik (Germany),tracto-technik.com|tracto-technik.de,Germany,NA,trenchless technology,
tradegecko,tradegecko,TradeGecko,tradegecko.com,NA,NA,software as a service,
tradewest,tradewest,Tradewest,tradewest.co.uk,United States of America,Midway Games,video game industry,
transarc,transarc,Transarc,NA,NA,NA,software industry,
transcosmos asia philippines,transcosmos asia philippines,transcosmos Asia Philippines Inc,NA,Philippines,NA,video game industry,
transgaming,transgaming,TransGaming Inc.,transgaming.com,NA,NA,video game industry,
transposia,transposia,Transposia,NA,Belgium,NA,video game industry,
transtek,transtek,Transtek,transtek.com,NA,NA,software,
transunion,transunion,TransUnion,transunion.com,United States of America|People's Republic of China,NA,information technology,
treco,treco,Treco,NA,United States of America,NA,video game industry,
treena,treena,Treena,treena.org,Australia,NA,educational technology,
trend micro,trend micro,Trend Micro,trendmicro.com,United States of America,NA,antivirus software|internet security,
tribeca interactive,tribeca interactive,Tribeca Interactive,NA,NA,NA,video game industry,
tribsoft,tribsoft,Tribsoft,tribsoft.com,NA,NA,video game industry,
tricrest,tricrest,"Tricrest, Inc.",NA,Japan,NA,video game industry,
triffix entertainment,triffix entertainment,Triffix Entertainment,NA,NA,NA,video game industry,
triple a,triple a,Triple A,triplea-2002.com,Japan,NA,video game industry,
tripwire,tripwire,Tripwire,tripwire.com,United States of America,NA,information technology|computer security,
trisbee,trisbee,Trisbee,trisbee.com,Czech Republic,NA,financial technology,
trophogen,trophogen,Trophogen,trophogen.com,United States of America,NA,biotechnology,
tru blu entertainment,tru blu entertainment,Tru Blu Entertainment,trublu.com.au,Australia,NA,video game industry,
truebill,truebill,"Truebill, Inc.",truebill.com,United States of America,NA,financial technology,
trulioo,trulioo,Trulioo,trulioo.com,NA,NA,financial technology,
trustport,trustport,TrustPort,trustport.pl,Czech Republic,NA,antivirus software,
truviso,truviso,Truviso,truviso.com,United States of America,NA,software industry,
tryfirst,tryfirst,TRYFIRST Inc.,NA,Japan,NA,video game industry,
tsinghua tongfang company,tsinghua tongfang company,Tsinghua Tongfang Company,thtf.com.cn,People's Republic of China,China National Nuclear Corporation,information technology,
tsuburaya productions,tsuburaya productions,Tsuburaya Productions,tsuburaya-prod.co.jp,Japan,NA,video game industry,
tt engineering,tt engineering,TT Engineering,tt-engineering.nl,NA,NA,mechanical engineering|automotive industry|aerospace|energy technology,
tts products co ltd,tts products co ltd,"TTS PRODUCTS CO., LTD.",NA,Japan,NA,video game industry,
tungsten network,tungsten network,Tungsten Network,tungsten-network.com,United Kingdom,NA,information technology|electronic invoicing,
tuonela productions ltd,tuonela productions ltd,Tuonela Productions Ltd,NA,NA,NA,video game,
turnbuddy,turnbuddy,Turnbuddy,turnbuddy.com,Sri Lanka,NA,information technology,
twenty2product,twenty2product,twenty2product,NA,United States of America,NA,video game industry,
twilio,twilio,Twilio,authy.com|twilio.com,NA,NA,Voice over Internet Protocol|software development|software industry,
